region,target,train_n,test_n,MAE,MAPE_%
Canada,quantity,1144,287,1.6282404181184666,115.1686387666244
Southern Africa,quantity,1133,284,2.0985651408450705,134.23070126435218
Central Africa,quantity,1142,286,2.1984090909090903,136.0215551121668
Western Africa,quantity,1140,285,3.687131578947368,167.14329006550167
Eastern Africa,quantity,1144,287,2.8228397212543554,167.8159289686346
Western Asia,quantity,1144,287,4.7978048780487805,183.17421123565802
North Africa,quantity,1146,287,3.755391986062718,186.93407871665693
Central America,quantity,1144,287,12.147195121951222,209.98050988222676
Oceania,quantity,1145,287,9.003397212543556,233.6595064351594
Eastern Europe,quantity,1146,287,4.609799651567944,233.9600194326823
Southern US,quantity,1140,286,6.2486625874125865,254.82773259793188
Northern Europe,quantity,1146,287,7.376149825783972,267.82299920024246
Western Europe,quantity,1144,286,14.515812937062938,268.7160354745583
Southern Asia,quantity,1144,287,8.077308362369338,268.8122194261228
Southeastern Asia,quantity,1144,287,9.451672473867596,270.6192370217284
Caribbean,quantity,1144,286,6.493723776223776,283.27006718540224
Southern Europe,quantity,1138,285,8.050026315789472,304.4633026293934
South America,quantity,1144,286,9.432788461538461,305.87793605213295
Eastern Asia,quantity,1144,286,8.065026223776224,359.063953370045
Central US,quantity,1144,286,16.551258741258742,522.1367874291972
Eastern US,quantity,1142,286,26.426879370629372,810.8331801799096
Western US,quantity,1141,286,31.461075174825176,1040.3888358624565
Central America,sales,1144,287,882.0277663815331,6720.005147721568
Western Africa,sales,1140,285,274.68771492105265,8034.513597165733
Central Africa,sales,1142,286,222.03230743006995,11124.249583779774
Western Asia,sales,1144,287,420.65829878048766,11359.32776075379
Southern Africa,sales,1133,284,221.18299621478877,11724.972105541214
Canada,sales,1144,287,179.19084277003475,12090.32521127434
South America,sales,1144,286,640.2566344916083,12393.439303953992
North Africa,sales,1146,287,356.9471200348432,12585.316992925082
Eastern Africa,sales,1144,287,260.2790903571429,13307.298622011665
Western Europe,sales,1144,286,1256.591596520979,13839.146714769344
Caribbean,sales,1144,286,408.9677227954545,13858.286459864234
Southern US,sales,1140,286,500.01886231643357,15038.062052093033
Eastern Europe,sales,1146,287,483.47080975609754,17853.262280886196
Northern Europe,sales,1146,287,693.7663912630661,18084.278182093414
Oceania,sales,1145,287,980.2328911411149,18182.094988267167
Southeastern Asia,sales,1144,287,941.5739470296166,19811.709687773775
Southern Asia,sales,1144,287,886.3443170383275,20835.75575205428
Southern Europe,sales,1138,285,750.357476263158,20994.646223300206
Eastern Asia,sales,1144,286,903.6626584877621,27213.051701664073
Central US,sales,1144,286,1179.991427732518,27973.749591202966
Eastern US,sales,1142,286,2266.2709950874128,38786.161885177564
Western US,sales,1141,286,2436.2736967613637,52885.6180540339
