date,date_key,year,quarter,month,month_name,week,dow,is_weekend
2012-01-01,20120101,2012,1,1,Jan,52,7,1
2012-01-02,20120102,2012,1,1,Jan,1,1,0
2012-01-03,20120103,2012,1,1,Jan,1,2,0
2012-01-04,20120104,2012,1,1,Jan,1,3,0
2012-01-05,20120105,2012,1,1,Jan,1,4,0
2012-01-06,20120106,2012,1,1,Jan,1,5,0
2012-01-07,20120107,2012,1,1,Jan,1,6,1
2012-01-08,20120108,2012,1,1,Jan,1,7,1
2012-01-09,20120109,2012,1,1,Jan,2,1,0
2012-01-10,20120110,2012,1,1,Jan,2,2,0
2012-01-11,20120111,2012,1,1,Jan,2,3,0
2012-01-12,20120112,2012,1,1,Jan,2,4,0
2012-01-13,20120113,2012,1,1,Jan,2,5,0
2012-01-14,20120114,2012,1,1,Jan,2,6,1
2012-01-15,20120115,2012,1,1,Jan,2,7,1
2012-01-16,20120116,2012,1,1,Jan,3,1,0
2012-01-17,20120117,2012,1,1,Jan,3,2,0
2012-01-18,20120118,2012,1,1,Jan,3,3,0
2012-01-19,20120119,2012,1,1,Jan,3,4,0
2012-01-20,20120120,2012,1,1,Jan,3,5,0
2012-01-21,20120121,2012,1,1,Jan,3,6,1
2012-01-22,20120122,2012,1,1,Jan,3,7,1
2012-01-23,20120123,2012,1,1,Jan,4,1,0
2012-01-24,20120124,2012,1,1,Jan,4,2,0
2012-01-25,20120125,2012,1,1,Jan,4,3,0
2012-01-26,20120126,2012,1,1,Jan,4,4,0
2012-01-27,20120127,2012,1,1,Jan,4,5,0
2012-01-28,20120128,2012,1,1,Jan,4,6,1
2012-01-29,20120129,2012,1,1,Jan,4,7,1
2012-01-30,20120130,2012,1,1,Jan,5,1,0
2012-01-31,20120131,2012,1,1,Jan,5,2,0
2012-02-01,20120201,2012,1,2,Feb,5,3,0
2012-02-02,20120202,2012,1,2,Feb,5,4,0
2012-02-03,20120203,2012,1,2,Feb,5,5,0
2012-02-04,20120204,2012,1,2,Feb,5,6,1
2012-02-05,20120205,2012,1,2,Feb,5,7,1
2012-02-06,20120206,2012,1,2,Feb,6,1,0
2012-02-07,20120207,2012,1,2,Feb,6,2,0
2012-02-08,20120208,2012,1,2,Feb,6,3,0
