country,region,state,city,postal_code,geo_id
United States,Central US,Oklahoma,Oklahoma City,73120.0,1
Australia,Oceania,New South Wales,Wollongong,,2
Australia,Oceania,Queensland,Brisbane,,3
Germany,Western Europe,Berlin,Berlin,,4
Senegal,Western Africa,Dakar,Dakar,,5
Australia,Oceania,New South Wales,Sydney,,6
New Zealand,Oceania,Wellington,Porirua,,7
New Zealand,Oceania,Waikato,Hamilton,,8
United States,Western US,Washington,Seattle,98103.0,9
Afghanistan,Southern Asia,Kabul,Kabul,,10
Saudi Arabia,Western Asia,Jizan,Jizan,,11
Brazil,South America,Parana,Toledo,,12
China,Eastern Asia,Heilongjiang,Mudanjiang,,13
France,Western Europe,Ile-de-France,Paris,,14
United States,Central US,Texas,Arlington,76017.0,15
Italy,Southern Europe,Tuscany,Prato,,16
Australia,Oceania,Queensland,Townsville,,17
Tanzania,Eastern Africa,Kigoma,Uvinza,,18
Poland,Eastern Europe,Silesia,Bytom,,19
China,Eastern Asia,Anhui,Suzhou,,20
United Kingdom,Northern Europe,Scotland,Edinburgh,,21
Mexico,Central America,Chihuahua,Juárez,,22
El Salvador,Central America,San Salvador,Soyapango,,23
Taiwan,Eastern Asia,Taipei City,Taipei,,24
Germany,Western Europe,Saxony,Leipzig,,25
United States,Eastern US,New York,Troy,12180.0,26
India,Southern Asia,Gujarat,Surat,,27
Dominican Republic,Caribbean,Santo Domingo,Santo Domingo,,28
France,Western Europe,Brittany,Saint-Brieuc,,29
United States,Western US,California,San Francisco,94122.0,30
Australia,Oceania,Queensland,Gold Coast,,31
Democratic Republic of the Congo,Central Africa,Katanga,Kamina,,32
United States,Western US,California,Los Angeles,90004.0,33
United States,Eastern US,New York,New York City,10035.0,34
United Kingdom,Northern Europe,England,Stockton-on-Tees,,35
Indonesia,Southeastern Asia,Nusa Tenggara Barat,Mataram,,36
India,Southern Asia,Haryana,Gorakhpur,,37
India,Southern Asia,Kerala,Thiruvananthapuram,,38
United Kingdom,Northern Europe,England,Huddersfield,,39
United States,Southern US,Mississippi,Gulfport,39503.0,40
France,Western Europe,Ile-de-France,Montreuil,,41
China,Eastern Asia,Shandong,Shouguang,,42
India,Southern Asia,Jharkhand,Jamshedpur,,43
Uruguay,South America,Paysandú,Paysandú,,44
United States,Western US,California,San Francisco,94109.0,45
Iran,Southern Asia,Mazandaran,Behshahr,,46
Mozambique,Eastern Africa,Cidade De Maputo,Maputo,,47
India,Southern Asia,Madhya Pradesh,Bhopal,,48
India,Southern Asia,Delhi,Delhi,,49
Australia,Oceania,Western Australia,Geraldton,,50
Bangladesh,Southern Asia,Dhaka,Dhaka,,51
United States,Eastern US,Pennsylvania,Philadelphia,19134.0,52
Germany,Western Europe,Lower Saxony,Munster,,53
Germany,Western Europe,Lower Saxony,Celle,,54
China,Eastern Asia,Jiangsu,Wuxi,,55
United States,Southern US,North Carolina,Jacksonville,28540.0,56
Spain,Southern Europe,Andalusía,Seville,,57
India,Southern Asia,Uttarakhand,Raipur,,58
Mexico,Central America,Durango,Gómez Palacio,,59
Ukraine,Eastern Europe,Kharkiv,Kharkiv,,60
China,Eastern Asia,Shandong,Jinan,,61
Nicaragua,Central America,Chinandega,Chinandega,,62
Democratic Republic of the Congo,Central Africa,Kasai-Occidental,Kananga,,63
Indonesia,Southeastern Asia,Sumatera Selatan,Palembang,,64
United Kingdom,Northern Europe,England,London,,65
Australia,Oceania,Victoria,Melbourne,,66
United States,Central US,Texas,Austin,78745.0,67
Germany,Western Europe,North Rhine-Westphalia,Duisburg,,68
China,Eastern Asia,Sichuan,Nanchong,,69
India,Southern Asia,West Bengal,Naihati,,70
France,Western Europe,Nord-Pas-de-Calais-Picardie,Lille,,71
Morocco,North Africa,Meknès-Tafilalet,Meknes,,72
United States,Western US,California,San Francisco,94110.0,73
United States,Western US,Oregon,Redmond,97756.0,74
Germany,Western Europe,North Rhine-Westphalia,Krefeld,,75
Indonesia,Southeastern Asia,Jawa Barat,Bandung,,76
Morocco,North Africa,Grand Casablanca,Casablanca,,77
Bangladesh,Southern Asia,Dhaka,Tongi,,78
United States,Western US,California,Pasadena,91104.0,79
Philippines,Southeastern Asia,National Capital,Manila,,80
Australia,Oceania,New South Wales,Newcastle,,81
Austria,Western Europe,Styria,Graz,,82
Australia,Oceania,New South Wales,Nowra,,83
France,Western Europe,Ile-de-France,Boulogne-Billancourt,,84
France,Western Europe,Ile-de-France,Malakoff,,85
Democratic Republic of the Congo,Central Africa,Kinshasa,Kinshasa,,86
Australia,Oceania,Western Australia,Perth,,87
France,Western Europe,Aquitaine-Limousin-Poitou-Charentes,Le Bouscat,,88
Mexico,Central America,Puebla,Puebla,,89
Germany,Western Europe,Bavaria,Augsburg,,90
France,Western Europe,Provence-Alpes-Côte d'Azur,Nice,,91
Colombia,South America,Antioquia,Medellín,,92
