product_id,product_name,category,sub-category
TEC-PH-5816,Samsung Convoy 3,Technology,Phones
FUR-CH-5379,"Novimex Executive Leather Armchair, Black",Furniture,Chairs
TEC-PH-5356,"Nokia Smart Phone, with Caller ID",Technology,Phones
TEC-PH-5267,"Motorola Smart Phone, Cordless",Technology,Phones
TEC-CO-6011,"Sharp Wireless Fax, High-Speed",Technology,Copiers
TEC-PH-5842,"Samsung Smart Phone, with Caller ID",Technology,Phones
FUR-CH-5378,"Novimex Executive Leather Armchair, Adjustable",Furniture,Chairs
FUR-TA-3764,"Chromcraft Conference Table, Fully Assembled",Furniture,Tables
FUR-BO-5957,"Sauder Facets Collection Library, Sky Alder Finish",Furniture,Bookcases
FUR-CH-4421,"Global Push Button Manager's Chair, Indigo",Furniture,Chairs
OFF-AR-5309,Newell 330,Office Supplies,Art
FUR-TA-3420,"Bevis Conference Table, Fully Assembled",Furniture,Tables
TEC-PH-3807,"Cisco Smart Phone, with Caller ID",Technology,Phones
FUR-CH-4530,"Harbour Creations Executive Leather Armchair, Adjustable",Furniture,Chairs
OFF-AP-4959,"KitchenAid Microwave, White",Office Supplies,Appliances
OFF-AP-3575,"Breville Refrigerator, Red",Office Supplies,Appliances
OFF-ST-3078,Akro Stacking Bins,Office Supplies,Storage
OFF-AP-4743,"Hoover Stove, Red",Office Supplies,Appliances
TEC-CO-3597,"Brother Fax Machine, High-Speed",Technology,Copiers
OFF-AP-4967,"KitchenAid Stove, White",Office Supplies,Appliances
FUR-TA-4644,"Hon Computer Table, with Bottom Storage",Furniture,Tables
OFF-ST-3744,"Carina 42""Hx23 3/4""W Media Storage Unit",Office Supplies,Storage
FUR-CH-5774,"SAFCO Executive Leather Armchair, Black",Furniture,Chairs
OFF-AP-4960,"KitchenAid Refrigerator, Black",Office Supplies,Appliances
TEC-PH-5268,"Motorola Smart Phone, Full Size",Technology,Phones
FUR-TA-4643,"Hon Computer Table, Fully Assembled",Furniture,Tables
FUR-TA-5060,"Lesro Conference Table, with Bottom Storage",Furniture,Tables
OFF-FA-6129,Staples,Office Supplies,Fasteners
FUR-CH-5443,"Office Star Executive Leather Armchair, Red",Furniture,Chairs
TEC-PH-5841,"Samsung Smart Phone, VoIP",Technology,Phones
TEC-MA-5503,"Okidata Inkjet, Wireless",Technology,Machines
TEC-PH-4389,Geemarc AmpliPOWER60,Technology,Phones
OFF-AP-3579,"Breville Stove, Red",Office Supplies,Appliances
OFF-ST-4291,Fellowes Super Stor/Drawer Files,Office Supplies,Storage
TEC-PH-3148,"Apple Smart Phone, Full Size",Technology,Phones
FUR-CH-4840,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",Furniture,Chairs
TEC-AC-6340,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 10/Pack",Technology,Accessories
TEC-CO-3598,"Brother Fax Machine, Laser",Technology,Copiers
TEC-PH-5269,"Motorola Smart Phone, with Caller ID",Technology,Phones
FUR-BO-5951,"Sauder Classic Bookcase, Traditional",Furniture,Bookcases
OFF-AP-3874,"Cuisinart Stove, Silver",Office Supplies,Appliances
